Report of testing
======================General information===================
Total number of different cases: 72
proportional: 0
unproportional: 72
zeroDerivations: 0
correct answers number: 72
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 26.20897098382314
average time per test: 4.36816183063719
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
28):  (14, 1, 13, 2, -12, 84):  GIVEN_DERIVATION : [-12*x**14*y, 84*x**13*y**2] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [-3*x**14*y/7 - 9*x**8*y/13 - 8*x**7/7 - x/13, 3*x**13*y**2 + 9*x**7*y**2 + 8*x**6*y + y] |-----|
29):  (15, 12, 14, 13, 156, -180):  GIVEN_DERIVATION : [156*x**15*y**12, -180*x**14*y**13] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-54*x/7, 9*y] |-----|
30):  (4, 6, 3, 7, -70, 40):  GIVEN_DERIVATION : [-70*x**4*y**6, 40*x**3*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [-16*x, 8*y] |-----|
31):  (13, 14, 12, 15, -30, 26):  GIVEN_DERIVATION : [-30*x**13*y**14, 26*x**12*y**15] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-49*x/6, 7*y] |-----|
32):  (11, 4, 10, 5, -55, 121):  GIVEN_DERIVATION : [-55*x**11*y**4, 121*x**10*y**5] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-12*x/5, 6*y] |-----|
33):  (5, 10, 4, 11, -22, 10):  GIVEN_DERIVATION : [-22*x**5*y**10, 10*x**4*y**11] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-15*x, 6*y] |-----|
34):  (13, 4, 12, 5, -50, 130):  GIVEN_DERIVATION : [-50*x**13*y**4, 130*x**12*y**5] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-8*x/3, 8*y] |-----|
35):  (10, 12, 9, 13, -130, 100):  GIVEN_DERIVATION : [-130*x**10*y**12, 100*x**9*y**13] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-16*x/3, 4*y] |-----|
36):  (9, 2, 8, 3, -30, 90):  GIVEN_DERIVATION : [-30*x**9*y**2, 90*x**8*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-8*x**9*y**2/3 - x**7*y**2 - 3*x**6*y - x**4*y/2 - 2*x**3 - 7*x/4, 8*x**8*y**3 + 4*x**6*y**3 + 9*x**5*y**2 + 2*x**3*y**2 + 6*x**2*y + 7*y] |-----|
37):  (13, 11, 12, 12, 144, -156):  GIVEN_DERIVATION : [144*x**13*y**11, -156*x**12*y**12] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-11*x/12, y] |-----|
38):  (4, 7, 3, 8, 112, -56):  GIVEN_DERIVATION : [112*x**4*y**7, -56*x**3*y**8] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [-7*x**4*y**6/3 - 8*x**3*y**5 - 14*x**3*y**4 - 12*x**2*y**3 - 28*x**2*y**2/3 - 18*x*y - 49*x/3, x**3*y**7 + 4*x**2*y**6 + 6*x**2*y**5 + 6*x*y**4 + 4*x*y**3 + 9*y**2 + 7*y] |-----|
39):  (5, 6, 4, 7, 49, -35):  GIVEN_DERIVATION : [49*x**5*y**6, -35*x**4*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [-12*x, 8*y] |-----|
40):  (13, 2, 12, 3, 42, -182):  GIVEN_DERIVATION : [42*x**13*y**2, -182*x**12*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-18*x**13*y**2/13 - x/6, 6*x**12*y**3 + y] |-----|
41):  (4, 6, 3, 7, 84, -48):  GIVEN_DERIVATION : [84*x**4*y**6, -48*x**3*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [-10*x, 5*y] |-----|
42):  (5, 9, 4, 10, 90, -45):  GIVEN_DERIVATION : [90*x**5*y**9, -45*x**4*y**10] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [-12*x**4*y**7 - 45*x**4*y**6/4 - 16*x**3*y**5 - 45*x**3*y**4/4 - 8*x**2*y**3 - 18*x**2*y**2 - 16*x*y - 45*x/4, 6*x**3*y**8 + 5*x**3*y**7 + 8*x**2*y**6 + 5*x**2*y**5 + 4*x*y**4 + 8*x*y**3 + 8*y**2 + 5*y] |-----|
43):  (11, 6, 10, 7, 98, -154):  GIVEN_DERIVATION : [98*x**11*y**6, -154*x**10*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-9*x/5, 3*y] |-----|
44):  (4, 1, 3, 2, -2, 4):  GIVEN_DERIVATION : [-2*x**4*y, 4*x**3*y**2] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [-9*x**4*y/2 - 2*x**3*y - 3*x**2 - x/3, 9*x**3*y**2 + 6*x**2*y**2 + 6*x*y + y] |-----|
45):  (15, 2, 14, 3, 30, -150):  GIVEN_DERIVATION : [30*x**15*y**2, -150*x**14*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-4*x**15*y**2/5 - 5*x**11*y**2/7 - x**10*y/5 - x**6*y - 3*x**5/5 - x, 4*x**14*y**3 + 5*x**10*y**3 + x**9*y**2 + 7*x**5*y**2 + 3*x**4*y + 7*y] |-----|
46):  (2, 4, 1, 5, 45, -18):  GIVEN_DERIVATION : [45*x**2*y**4, -18*x*y**5] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [-15*x**2*y**4 - 24*x, 6*x*y**5 + 6*y] |-----|
47):  (5, 8, 4, 9, -72, 40):  GIVEN_DERIVATION : [-72*x**5*y**8, 40*x**4*y**9] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-18*x, 9*y] |-----|
48):  (13, 1, 12, 2, -4, 26):  GIVEN_DERIVATION : [-4*x**13*y, 26*x**12*y**2] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-6*x**13*y/13 - x/6, 3*x**12*y**2 + 2*y] |-----|
49):  (12, 2, 11, 3, 18, -72):  GIVEN_DERIVATION : [18*x**12*y**2, -72*x**11*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [-3*x**12*y**2/4 - 4*x**9*y**2/11 - x**8*y/4 - 12*x**5*y/11 - 9*x**4/4 - 4*x/11, 3*x**11*y**3 + 2*x**8*y**3 + x**7*y**2 + 6*x**4*y**2 + 9*x**3*y + 2*y] |-----|
